,title,description,professor_id,professor,skill_id,rating,hours_required,likes_count,,,,,,
1,Financial Accounting,Accounting for curious grasshopers,1,"Rauter, Thomas",30,3,8,0,,,,,,
2,Cost Analysis and Internal Controls,Accounting for curious grasshopers,2,"Gallemore, John",30,3,0,0,,,,,,
3,Accounting and Financial Analysis ,Accounting for curious grasshopers,3,"Soffer, Leonard",30,4,0,0,,,,,,
4,Accounting for Entrepreneurship: From Start-Up through IPO,Accounting for curious grasshopers,4,"Weiss, Ira",30,4,10,0,,,,,,
5,Financial Statement Analysis,Accounting for curious grasshopers,5,"Smith, Abbie",30,4,7,0,,,,,,
6,Advanced Financial Analysis and Valuation for Global Firms,Accounting for curious grasshopers,6,"Leuz, Christian",30,3,9,0,,,,,,
7,Workshop in Accounting Research,Accounting for curious grasshopers,7,"Bonham, Jonathan; Tomy, Rimmy",30,2,8,0,,,,,,
8,Economic Modeling of Accounting Issues,Accounting for curious grasshopers,8,"Sapra, Haresh",30,2,8,0,,,,,,
9,Topics in Empirical Accounting Research,Accounting for curious grasshopers,9,"Berger, Philip",30,3,0,0,,,,,,
10,Leadership Practicum,Leadership training for curious grasshopers,10,"Collins, Chris",31,4,7,0,,,,,,
11,Leadership Studio,Leadership training for curious grasshopers,11,"Davis, Harry; Tennant, Nancy",31,4,3,0,,,,,,
12,Artificial Intelligence,Analytics for curious grasshopers,12,"Mullainathan, Sendhil",32,5,9,0,,,,,,
13,Microeconomics,Macroeconomics for curious grasshopers,13,"McClellan, Andrew",33,3,0,0,,,,,,
14,Macroeconomics,Macroeconomics for curious grasshopers,14,"Hurst, Erik",33,3,5,0,,,,,,
15,Business in Historical Perspective,Macroeconomics for curious grasshopers,15,"Hornbeck, Richard",33,3,0,0,,,,,,
16,Money and Banking,Macroeconomics for curious grasshopers,16,"Huber, Kilian",33,3,4,0,,,,,,
17,Real Estate Investments I,Macroeconomics for curious grasshopers,17,"Pagliari, Joseph",33,3,10,0,,,,,,
18,"Business, Politics, and Ethics",Macroeconomics for curious grasshopers,18,"Barry, Brian",33,3,8,0,,,,,,
19,Managing the Firm in the Global Economy,Macroeconomics for curious grasshopers,19,"Dingel, Jonathan",33,5,0,0,,,,,,
20,Applied Economics Workshop,Macroeconomics for curious grasshopers,20,"Bertrand, Marianne; Kamenica, Emir",33,3,10,0,,,,,,
21,Workshop in Macro and International Economics,Macroeconomics for curious grasshopers,21,"Dingel, Jonathan; Kekre, Rohan",33,3,10,0,,,,,,
22,Microeconomics Reading and Research Seminar ?,Macroeconomics for curious grasshopers,22,"Budish, Eric",33,2,2,0,,,,,,
23,Consensus and Economics,Macroeconomics for curious grasshopers,23,"Leshno, Jacob",33,1,7,0,,,,,,
